availability_30,availability_60,availability_90,availability_365
0,0,2,277
0,10,14,70
30,60,90,90
0,0,0,0
0,0,0,0
22,52,63,283
0,0,0,0
3,15,19,227
0,4,4,4
0,15,15,100
0,0,0,0
19,49,79,317
5,16,23,153
0,18,48,139
8,30,41,293
0,0,0,0
2,3,3,3
0,0,24,294
4,18,41,281
8,14,19,135
0,0,0,0
14,32,59,142
0,4,4,4
0,0,0,0
23,46,76,351
3,26,56,300
0,0,3,278
0,0,0,0
10,19,23,225
30,60,90,365
4,9,15,101
0,0,0,0
30,60,90,180
5,23,45,192
2,18,18,18
0,0,30,90
0,0,0,0
25,53,83,173
20,44,67,296
3,3,3,3
24,54,84,169
29,59,89,179
28,58,88,359
0,1,4,86
29,59,89,179
6,14,40,312
29,59,89,89
0,0,0,0
0,0,0,0
0,27,57,332
0,0,0,0
24,52,82,357
24,54,84,359
0,0,0,0
7,20,50,250
0,0,0,0
16,46,76,351
13,32,62,323
0,0,3,212
19,49,79,79
9,32,54,314
24,54,84,84
0,0,0,0
0,7,7,18
4,8,19,256
26,56,86,361
7,20,39,122
0,0,0,0
7,12,20,118
0,0,8,283
30,60,90,212
30,60,90,180
21,51,81,356
0,0,0,0
0,0,3,118
7,21,31,251
20,36,66,66
0,29,59,334
3,5,11,174
0,0,0,0
0,13,18,108
25,54,83,358
6,28,28,28
23,53,83,358
28,58,88,89
29,59,81,81
3,4,34,105
10,23,38,309
4,4,4,12
30,60,87,354
6,20,31,278
30,60,90,365
0,0,0,1
10,11,27,175
2,5,7,209
24,49,62,337
13,17,32,307
0,0,0,0
29,59,89,89
0,0,0,46
17,47,77,352
0,0,0,0
30,51,79,323
3,6,19,158
0,6,10,81
24,54,76,310
0,0,0,0
0,0,0,36
30,60,90,359
10,35,53,226
2,10,40,315
0,0,0,0
6,25,25,25
0,0,0,0
7,20,37,290
27,57,77,318
0,0,0,267
0,0,2,148
4,22,43,220
0,0,0,0
0,22,22,22
0,0,0,0
13,40,70,314
0,0,0,0
0,12,42,132
30,60,90,361
0,0,0,0
16,42,67,264
30,60,90,322
1,10,27,266
0,0,0,0
20,49,79,354
17,47,77,298
0,0,0,245
0,0,0,0
3,5,5,223
4,24,54,54
0,0,0,0
0,6,36,311
0,0,0,0
7,23,53,144
7,15,21,166
21,51,81,81
30,60,90,240
0,2,6,147
17,47,75,330
21,51,81,356
0,0,9,181
11,15,45,135
6,25,55,330
29,59,89,355
17,47,77,352
24,54,84,84
28,58,88,363
19,49,79,80
0,0,0,165
12,35,65,337
24,47,63,324
7,7,9,9
30,60,90,365
0,0,0,0
0,0,0,0
21,45,64,296
0,0,0,0
0,0,0,0
23,53,83,83
20,26,26,26
14,28,41,221
22,42,72,163
1,12,26,298
0,0,0,0
0,0,0,0
2,2,2,189
27,41,71,346
20,20,20,226
29,59,89,364
17,33,58,289
3,5,11,160
9,13,43,43
21,44,74,74
0,0,0,0
16,25,50,91
0,0,0,0
28,52,70,106
28,51,76,293
6,13,13,246
12,36,66,341
13,33,63,338
22,46,60,146
19,49,79,351
7,16,35,286
8,18,44,44
15,39,69,339
0,2,20,251
0,0,0,0
27,57,87,362
19,49,79,79
0,0,0,0
19,43,73,73
18,40,63,153
2,14,25,189
4,8,16,26
17,47,77,352
0,0,0,0
0,0,0,0
2,26,27,291
19,41,69,242
0,0,6,91
29,59,89,89
20,47,71,314
5,5,5,5
8,19,49,324
7,17,23,35
0,0,0,5
15,24,47,123
27,54,84,359
15,33,48,297
11,35,65,336
0,23,53,53
15,19,25,25
0,0,0,0
7,33,59,334
19,45,75,166
2,16,39,272
30,60,90,365
19,19,19,236
0,0,0,0
10,38,68,68
28,58,88,284
0,29,59,326
13,31,54,151
0,5,17,281
0,0,0,0
21,38,68,343
0,0,0,0
17,39,69,344
0,0,0,0
0,0,0,0
8,21,51,275
30,60,90,90
3,8,12,194
0,0,0,0
21,43,67,281
8,28,58,145
0,11,28,223
0,0,0,0
25,53,65,65
0,0,0,0
11,41,71,162
8,24,51,322
0,0,0,183
0,0,0,132
11,11,11,11
0,0,0,0
20,50,76,329
0,0,0,0
28,55,85,163
21,46,71,332
30,60,90,90
0,0,0,151
0,0,0,0
6,24,35,258
10,16,32,39
19,32,43,294
0,9,28,296
30,60,90,365
0,0,0,0
30,60,90,365
0,0,0,0
30,60,90,365
13,41,71,338
0,0,0,0
0,0,0,0
13,22,31,216
0,0,3,3
29,59,89,352
30,60,90,365
4,16,27,179
30,60,90,176
29,59,89,89
25,55,85,360
0,0,0,0
3,9,15,51
10,10,14,283
0,0,0,0
5,12,27,295
30,60,90,365
0,0,0,100
6,22,52,77
0,0,0,0
0,0,0,0
0,0,0,0
27,53,83,172
1,17,33,291
17,35,56,315
22,52,82,82
21,21,47,229
24,54,84,359
0,0,0,0
6,6,8,8
0,0,0,0
30,59,81,356
2,13,26,179
30,60,90,365
5,19,31,38
11,13,30,247
29,59,89,89
3,6,22,147
14,14,34,240
0,0,0,0
9,39,69,159
4,26,56,147
3,21,48,237
13,15,21,200
0,0,0,15
30,60,90,324
28,58,88,113
0,0,0,0
23,50,78,352
0,0,0,0
7,28,58,318
30,60,90,90
30,60,90,90
12,28,51,296
15,33,57,265
10,40,70,345
13,13,13,72
7,32,53,144
1,1,16,16
17,26,34,232
4,8,19,230
0,0,0,0
0,0,0,0
13,43,73,341
15,31,35,35
0,0,0,0
29,59,89,364
3,10,26,236
30,60,90,365
16,39,69,304
28,58,87,148
0,0,0,0
0,0,0,0
1,31,61,336
2,5,17,56
0,0,0,0
30,33,33,33
27,57,87,88
